"year","season","city"
2016,"Summer","Rio de Janeiro"
2014,"Winter","Sochi"
2012,"Summer","London"
2010,"Winter","Vancouver"
2008,"Summer","Beijing"
2006,"Winter","Torino"
2004,"Summer","Athina"
2002,"Winter","Salt Lake City"
2000,"Summer","Sydney"
1998,"Winter","Nagano"
1996,"Summer","Atlanta"
1994,"Winter","Lillehammer"
1992,"Summer","Barcelona"
1992,"Winter","Albertville"
1988,"Summer","Seoul"
1988,"Winter","Calgary"
1984,"Summer","Los Angeles"
1984,"Winter","Sarajevo"
1980,"Summer","Moskva"
1980,"Winter","Lake Placid"
1976,"Winter","Innsbruck"
1976,"Summer","Montreal"
1972,"Winter","Sapporo"
1972,"Summer","Munich"
1968,"Summer","Mexico City"
1968,"Winter","Grenoble"
1964,"Winter","Innsbruck"
1964,"Summer","Tokyo"
1960,"Summer","Roma"
1960,"Winter","Squaw Valley"
1956,"Winter","Cortina d'Ampezzo"
1956,"Summer","Melbourne"
1956,"Summer","Stockholm"
1952,"Summer","Helsinki"
1952,"Winter","Oslo"
1948,"Winter","Sankt Moritz"
1948,"Summer","London"
1936,"Summer","Berlin"
1936,"Winter","Garmisch-Partenkirchen"
1932,"Winter","Lake Placid"
1932,"Summer","Los Angeles"
1928,"Summer","Amsterdam"
1928,"Winter","Sankt Moritz"
1924,"Summer","Paris"
1924,"Winter","Chamonix"
1920,"Summer","Antwerpen"
1912,"Summer","Stockholm"
1908,"Summer","London"
1906,"Summer","Athina"
1904,"Summer","St. Louis"
1900,"Summer","Paris"
1896,"Summer","Athina"
