"region","gold","silver","bronze"
"USA",2638,1641,1358
"Russia",1599,1170,1178
"Germany",1301,1195,1260
"UK",678,739,651
"Italy",575,531,531
"France",501,610,666
"Sweden",479,522,535
"Canada",463,438,451
"Hungary",432,332,371
"Norway",378,361,294
"Australia",368,459,522
"China",351,349,293
"Netherlands",287,340,413
"Japan",247,309,357
"South Korea",221,232,185
"Finland",198,270,432
"Denmark",179,241,177
"Switzerland",175,248,268
"Cuba",164,129,116
"Romania",161,200,292
"Serbia",157,222,160
"India",138,19,40
"Czech Republic",123,262,259
"Poland",117,195,253
"Spain",110,243,136
"Brazil",109,175,191
"Austria",108,186,156
"Belgium",98,197,173
"Argentina",91,92,91
"New Zealand",90,56,82
"Greece",62,109,84
"Croatia",58,54,37
"Bulgaria",54,144,144
"Ukraine",47,52,100
"Pakistan",42,45,34
"Turkey",40,27,28
"Jamaica",38,75,44
"Kenya",34,41,31
"South Africa",32,47,52
"Uruguay",31,2,30
"Mexico",30,26,54
"Belarus",24,44,71
"Nigeria",23,30,46
"Ethiopia",22,9,22
"Cameroon",20,1,1
"Kazakhstan",20,25,32
"Iran",18,21,29
"Zimbabwe",17,4,1
"North Korea",16,16,35
"Slovakia",15,19,13
"Bahamas",14,11,15
"Estonia",13,12,25
"Fiji",13,0,0
"Indonesia",11,17,13
"Uzbekistan",10,7,17
"Thailand",9,8,13
"Ireland",9,13,13
"Slovenia",8,13,27
"Georgia",8,6,18
"Egypt",7,8,12
"Azerbaijan",7,12,25
"Trinidad",7,8,22
"Morocco",6,5,12
"Lithuania",6,7,48
"Colombia",5,9,14
"Algeria",5,4,8
"Luxembourg",4,4,0
"Portugal",4,11,26
"Tunisia",3,3,7
"Chile",3,9,20
"Dominican Republic",3,2,2
"Latvia",3,19,13
"Taiwan",3,28,18
"Venezuela",2,3,10
"Mongolia",2,10,14
"Armenia",2,5,9
"Uganda",2,3,2
"Liechtenstein",2,2,5
"Grenada",1,1,0
"Suriname",1,0,1
"Kosovo",1,0,0
"Panama",1,0,2
"Bahrain",1,1,1
"Israel",1,1,7
"Haiti",1,1,5
"Jordan",1,0,0
"Costa Rica",1,1,2
"Burundi",1,1,0
"United Arab Emirates",1,0,1
"Peru",1,14,0
"Ivory Coast",1,1,1
"Ecuador",1,1,0
"Individual Olympic Athletes",1,1,3
"Vietnam",1,3,0
"Puerto Rico",1,2,6
"Tajikistan",1,1,2
"Mozambique",1,0,1
"Syria",1,2,2
"Nepal",1,0,0
"Togo",0,0,1
"Tonga",0,1,0
"Turkmenistan",0,0,0
"Vanuatu",0,0,0
"Virgin Islands, British",0,0,0
"Virgin Islands, US",0,1,0
"Yemen",0,0,0
"Zambia",0,1,1
"Nauru",0,0,0
"Albania",0,0,0
"American Samoa",0,0,0
"Andorra",0,0,0
"Angola",0,0,0
"Antigua",0,0,0
"Aruba",0,0,0
"Bangladesh",0,0,0
"Barbados",0,0,1
"Belize",0,0,0
"Benin",0,0,0
"Bermuda",0,0,1
"Bhutan",0,0,0
"Boliva",0,0,0
"Bosnia and Herzegovina",0,0,0
"Botswana",0,1,0
"Brunei",0,0,0
"Burkina Faso",0,0,0
"Cambodia",0,0,0
"Cape Verde",0,0,0
"Cayman Islands",0,0,0
"Central African Republic",0,0,0
"Chad",0,0,0
"Comoros",0,0,0
"Cook Islands",0,0,0
"Curacao",0,1,0
"Cyprus",0,1,0
"Democratic Republic of the Congo",0,0,0
"Djibouti",0,0,1
"Dominica",0,0,0
"El Salvador",0,0,0
"Equatorial Guinea",0,0,0
"Eritrea",0,0,1
"Gabon",0,1,0
"Gambia",0,0,0
"Ghana",0,1,22
"Guam",0,0,0
"Guatemala",0,1,0
"Guinea",0,0,0
"Guinea-Bissau",0,0,0
"Guyana",0,0,1
"Honduras",0,0,0
"Iceland",0,15,2
"Iraq",0,0,1
"Kiribati",0,0,0
"Kuwait",0,0,2
"Kyrgyzstan",0,1,2
"Laos",0,0,0
"Lebanon",0,2,2
"Lesotho",0,0,0
"Liberia",0,0,0
"Libya",0,0,0
"Macedonia",0,0,1
"Madagascar",0,0,0
"Malawi",0,0,0
"Malaysia",0,11,5
"Maldives",0,0,0
"Mali",0,0,0
"Malta",0,0,0
"Marshall Islands",0,0,0
"Mauritania",0,0,0
"Mauritius",0,0,1
"Micronesia",0,0,0
"Moldova",0,3,5
"Monaco",0,0,1
"Montenegro",0,14,0
"Myanmar",0,0,0
"NA",0,0,0
"Namibia",0,4,0
"Afghanistan",0,0,2
"Nicaragua",0,0,0
"Niger",0,1,1
"Oman",0,0,0
"Palau",0,0,0
"Palestine",0,0,0
"Papua New Guinea",0,0,0
"Paraguay",0,17,0
"Philippines",0,3,7
"Qatar",0,1,4
"Republic of Congo",0,0,0
"Rwanda",0,0,0
"Saint Kitts",0,0,0
"Saint Lucia",0,0,0
"Saint Vincent",0,0,0
"Samoa",0,0,0
"San Marino",0,0,0
"Sao Tome and Principe",0,0,0
"Saudi Arabia",0,1,5
"Senegal",0,1,0
"Seychelles",0,0,0
"Sierra Leone",0,0,0
"Solomon Islands",0,0,0
"Somalia",0,0,0
"South Sudan",0,0,0
"Sri Lanka",0,2,0
"Sudan",0,1,0
"Swaziland",0,0,0
"Tanzania",0,2,0
"Timor-Leste",0,0,0
